timestamp,solar_kw,wind_kw,demand_kw,battery_percent,temperature_c,fuel_liters,weather,scenario
2025-01-01 00:00:00,0.0,120.0,45.0,92.6,0.1,5000.0,Clear,normal
2025-01-01 01:00:00,3.1,94.7,45.0,95.0,-3.2,5000.0,Cloudy,normal
2025-01-01 02:00:00,6.0,120.0,45.0,95.0,0.3,5000.0,Cloudy,normal
2025-01-01 03:00:00,12.7,19.3,45.0,89.8,0.3,5000.0,Clear,normal
2025-01-01 04:00:00,15.0,0.3,45.0,78.0,-6.4,5000.0,Clear,normal
2025-01-01 05:00:00,19.1,0.5,45.6,67.6,-5.3,5000.0,Clear,normal
2025-01-01 06:00:00,22.3,2.0,45.0,59.3,-2.4,5000.0,Clear,normal
2025-01-01 07:00:00,12.6,0.0,45.0,46.3,-3.5,5000.0,Snow,normal
2025-01-01 08:00:00,21.8,31.6,47.0,48.7,-2.9,5000.0,Cloudy,normal
2025-01-01 09:00:00,25.4,13.0,45.0,46.0,-4.7,5000.0,Cloudy,normal
2025-01-01 10:00:00,20.1,3.6,45.0,37.5,-0.7,5000.0,Cloudy,normal
2025-01-01 11:00:00,30.2,8.2,52.2,32.0,-0.7,5000.0,Clear,normal
2025-01-01 12:00:00,11.2,1.1,47.2,18.0,-2.0,5000.0,Snow,normal
2025-01-01 13:00:00,27.2,120.0,53.7,52.4,0.7,5000.0,Storm,peak_solar
2025-01-01 14:00:00,16.0,0.0,45.0,40.8,-0.3,5000.0,Snow,normal
2025-01-01 15:00:00,26.0,0.0,54.1,29.6,-2.8,5000.0,Clear,normal
2025-01-01 16:00:00,13.9,80.3,45.0,47.7,0.2,5000.0,Snow,normal
2025-01-01 17:00:00,21.8,8.4,49.0,40.2,-2.4,5000.0,Cloudy,normal
2025-01-01 18:00:00,18.5,120.0,45.0,74.6,1.9,5000.0,Cloudy,normal
2025-01-01 19:00:00,11.7,20.6,45.0,69.5,0.0,5000.0,Cloudy,normal
2025-01-01 20:00:00,17.5,45.8,45.0,76.2,-0.3,5000.0,Clear,normal
2025-01-01 21:00:00,8.2,2.1,45.0,62.4,-1.4,5000.0,Cloudy,normal
2025-01-01 22:00:00,6.0,103.4,45.0,86.1,2.6,5000.0,Cloudy,normal
2025-01-01 23:00:00,3.6,0.0,45.0,69.5,-0.6,5000.0,Clear,normal
2025-01-02 00:00:00,0.0,15.1,45.0,57.6,-1.5,5000.0,Cloudy,normal
2025-01-02 01:00:00,3.5,0.3,45.0,41.1,-1.7,5000.0,Cloudy,normal
2025-01-02 02:00:00,6.5,18.6,45.0,33.1,-0.1,5000.0,Cloudy,normal
2025-01-02 03:00:00,6.7,120.0,45.0,63.2,-0.9,5000.0,Storm,normal
2025-01-02 04:00:00,14.8,3.2,45.0,52.4,-1.1,5000.0,Clear,normal
2025-01-02 05:00:00,12.5,2.3,45.0,40.3,-1.4,5000.0,Cloudy,normal
2025-01-02 06:00:00,7.4,43.6,45.0,42.5,2.1,5000.0,Snow,normal
2025-01-02 07:00:00,15.6,1.4,45.0,31.3,-3.6,5000.0,Cloudy,normal
2025-01-02 08:00:00,22.9,45.0,45.3,39.6,-3.9,5000.0,Cloudy,normal
2025-01-02 09:00:00,14.6,9.6,45.0,31.3,-4.5,5000.0,Snow,normal
2025-01-02 10:00:00,22.7,0.0,47.9,21.2,-1.2,5000.0,Cloudy,normal
2025-01-02 11:00:00,21.1,0.0,46.9,15.0,0.1,4996.2,Cloudy,critical
2025-01-02 12:00:00,25.4,0.0,48.3,15.0,-2.3,4988.2,Cloudy,storm
2025-01-02 13:00:00,28.9,0.0,45.0,15.0,-3.5,4982.5,Clear,storm
2025-01-02 14:00:00,24.3,7.5,45.3,15.0,-3.1,4977.6,Cloudy,storm
2025-01-02 15:00:00,14.2,0.0,48.0,15.0,0.5,4966.3,Snow,storm
2025-01-02 16:00:00,20.9,0.0,46.2,15.0,1.1,4957.6,Cloudy,storm
2025-01-02 17:00:00,19.2,0.2,48.1,15.0,1.0,4947.8,Cloudy,storm
2025-01-02 18:00:00,17.3,120.0,45.0,49.0,-1.5,4947.8,Cloudy,normal
2025-01-02 19:00:00,12.7,2.5,45.4,36.8,0.7,4947.8,Cloudy,normal
2025-01-02 20:00:00,8.7,17.0,45.7,28.8,0.5,4947.8,Snow,normal
2025-01-02 21:00:00,8.8,120.0,45.0,59.7,0.6,4947.8,Cloudy,normal
2025-01-02 22:00:00,8.1,0.0,45.0,44.9,1.9,4947.8,Clear,normal
2025-01-02 23:00:00,1.8,120.0,45.0,73.2,0.3,4947.8,Storm,normal
2025-01-03 00:00:00,0.0,0.0,45.0,55.2,1.0,4947.8,Clear,normal
2025-01-03 01:00:00,3.2,0.6,45.0,38.7,-0.7,4947.8,Cloudy,normal
2025-01-03 02:00:00,2.5,120.0,45.0,67.3,-0.6,4947.8,Storm,normal
2025-01-03 03:00:00,12.2,0.8,45.0,54.4,-0.3,4947.8,Clear,normal
2025-01-03 04:00:00,12.6,120.0,45.0,86.7,-5.2,4947.8,Storm,normal
2025-01-03 05:00:00,16.1,120.0,45.0,95.0,-3.0,4947.8,Cloudy,normal
2025-01-03 06:00:00,18.5,0.3,45.0,84.5,-3.6,4947.8,Cloudy,normal
2025-01-03 07:00:00,26.4,120.0,45.0,95.0,-4.1,4947.8,Clear,peak_solar
2025-01-03 08:00:00,29.3,0.0,45.3,88.6,-3.4,4947.8,Clear,normal
2025-01-03 09:00:00,22.1,2.8,47.5,79.6,0.6,4947.8,Cloudy,normal
2025-01-03 10:00:00,23.0,11.4,52.5,72.3,-4.5,4947.8,Cloudy,normal
2025-01-03 11:00:00,27.1,0.4,47.4,64.4,-0.2,4947.8,Cloudy,normal
2025-01-03 12:00:00,35.0,0.3,51.7,57.9,-5.7,4947.8,Clear,normal
2025-01-03 13:00:00,24.2,8.8,46.4,52.6,-2.4,4947.8,Cloudy,normal
2025-01-03 14:00:00,30.8,120.0,45.0,91.5,-0.9,4947.8,Storm,peak_solar
2025-01-03 15:00:00,35.5,120.0,45.0,95.0,0.4,4947.8,Storm,peak_solar
2025-01-03 16:00:00,22.5,0.2,47.1,85.2,1.1,4947.8,Cloudy,normal
2025-01-03 17:00:00,20.0,0.2,47.5,74.3,1.6,4947.8,Cloudy,normal
2025-01-03 18:00:00,13.8,40.6,45.0,77.8,-0.7,4947.8,Cloudy,normal
2025-01-03 19:00:00,14.7,39.7,45.0,81.2,-0.8,4947.8,Cloudy,normal
2025-01-03 20:00:00,11.0,120.0,45.0,95.0,2.1,4947.8,Cloudy,normal
2025-01-03 21:00:00,8.7,120.0,45.0,95.0,-0.2,4947.8,Cloudy,normal
2025-01-03 22:00:00,5.6,0.0,45.0,79.3,-2.8,4947.8,Cloudy,normal
2025-01-03 23:00:00,4.3,0.0,45.0,63.0,-2.7,4947.8,Clear,normal
2025-01-04 00:00:00,0.0,27.2,45.0,55.8,-2.5,4947.8,Snow,normal
2025-01-04 01:00:00,3.4,9.0,45.0,42.8,0.3,4947.8,Cloudy,normal
2025-01-04 02:00:00,9.3,0.0,45.0,28.5,-0.9,4947.8,Clear,normal
2025-01-04 03:00:00,10.4,0.0,45.0,15.0,-0.1,4947.5,Cloudy,storm
2025-01-04 04:00:00,10.4,23.8,45.0,15.0,-2.9,4943.6,Cloudy,storm
2025-01-04 05:00:00,15.5,2.4,45.0,15.0,-1.9,4934.3,Cloudy,storm
2025-01-04 06:00:00,17.5,25.4,45.0,15.0,-1.1,4933.5,Cloudy,storm
2025-01-04 07:00:00,27.4,0.0,45.0,15.0,-3.3,4927.2,Clear,storm
2025-01-04 08:00:00,16.8,30.8,45.0,16.0,-1.7,4927.2,Cloudy,normal
2025-01-04 09:00:00,34.2,13.3,45.8,16.6,-4.1,4927.2,Clear,peak_solar
2025-01-04 10:00:00,37.6,37.6,45.0,27.7,-3.3,4927.2,Clear,peak_solar
2025-01-04 11:00:00,33.7,0.4,48.4,22.0,-3.1,4927.2,Clear,normal
2025-01-04 12:00:00,33.2,0.1,53.1,15.0,-4.6,4926.3,Clear,storm
2025-01-04 13:00:00,24.6,0.0,45.6,15.0,-0.5,4919.0,Cloudy,storm
2025-01-04 14:00:00,22.3,1.0,46.6,15.0,-2.2,4910.9,Cloudy,storm
2025-01-04 15:00:00,30.9,86.6,45.0,41.7,-0.8,4910.9,Clear,peak_solar
2025-01-04 16:00:00,13.3,120.0,45.0,74.2,0.6,4910.9,Snow,normal
2025-01-04 17:00:00,26.4,0.0,45.6,66.5,0.8,4910.9,Clear,normal
2025-01-04 18:00:00,23.5,3.4,47.8,58.2,1.5,4910.9,Clear,normal
2025-01-04 19:00:00,7.4,120.0,45.4,88.3,0.0,4910.9,Storm,normal
2025-01-04 20:00:00,16.9,120.0,52.0,95.0,-0.6,4910.9,Storm,normal
2025-01-04 21:00:00,8.8,0.8,45.0,80.9,0.1,4910.9,Cloudy,normal
2025-01-04 22:00:00,5.9,106.2,45.0,95.0,-3.6,4910.9,Cloudy,normal
2025-01-04 23:00:00,2.6,69.5,45.0,95.0,-3.3,4910.9,Cloudy,normal
2025-01-05 00:00:00,0.0,56.5,45.0,95.0,-3.3,4910.9,Clear,normal
2025-01-05 01:00:00,3.7,0.0,45.0,78.5,-3.0,4910.9,Clear,normal
2025-01-05 02:00:00,3.9,0.1,45.0,62.1,-0.3,4910.9,Snow,normal
2025-01-05 03:00:00,13.8,2.1,45.0,50.5,-3.6,4910.9,Clear,normal
2025-01-05 04:00:00,14.9,1.9,45.0,39.2,-2.8,4910.9,Clear,normal
2025-01-05 05:00:00,12.5,3.3,45.0,27.5,0.6,4910.9,Cloudy,normal
2025-01-05 06:00:00,16.4,120.0,45.0,61.1,-3.3,4910.9,Storm,normal
2025-01-05 07:00:00,27.7,1.0,45.0,54.6,-1.0,4910.9,Clear,normal
2025-01-05 08:00:00,20.1,15.3,45.0,50.8,-4.7,4910.9,Cloudy,normal
2025-01-05 09:00:00,16.7,13.6,54.3,41.1,-3.1,4910.9,Snow,normal
2025-01-05 10:00:00,23.1,3.4,50.0,31.7,-4.6,4910.9,Cloudy,normal
2025-01-05 11:00:00,34.6,0.0,45.0,27.6,-3.0,4910.9,Clear,normal
2025-01-05 12:00:00,15.9,5.7,45.0,18.2,-0.1,4910.9,Snow,normal
2025-01-05 13:00:00,35.2,0.0,49.4,15.0,-5.4,4908.6,Clear,storm
2025-01-05 14:00:00,17.4,20.5,45.1,15.0,-0.2,4906.0,Snow,storm
2025-01-05 15:00:00,14.7,0.0,45.0,15.0,-0.3,4895.7,Snow,storm
2025-01-05 16:00:00,26.2,15.6,45.0,15.0,-1.7,4894.5,Clear,storm
2025-01-05 17:00:00,29.6,0.1,48.3,15.0,-3.3,4888.0,Clear,storm
2025-01-05 18:00:00,11.6,0.0,45.0,15.0,0.3,4876.8,Snow,storm
2025-01-05 19:00:00,22.6,41.9,45.0,22.2,-0.9,4876.8,Clear,normal
2025-01-05 20:00:00,14.6,0.5,45.0,15.0,0.8,4872.5,Clear,storm
2025-01-05 21:00:00,13.8,4.7,45.0,15.0,0.3,4863.4,Clear,storm
2025-01-05 22:00:00,9.0,0.0,45.0,15.0,3.6,4851.4,Clear,storm
2025-01-05 23:00:00,4.6,120.0,45.0,44.3,-0.6,4851.4,Clear,normal
2025-01-06 00:00:00,0.0,6.6,45.0,29.0,-2.6,4851.4,Snow,normal
2025-01-06 01:00:00,4.0,6.6,45.0,15.2,-0.4,4851.4,Clear,normal
2025-01-06 02:00:00,6.6,113.3,45.0,42.8,-0.7,4851.4,Cloudy,normal
2025-01-06 03:00:00,10.4,21.7,45.0,37.6,1.5,4851.4,Cloudy,normal
2025-01-06 04:00:00,7.3,0.0,45.0,22.5,-0.1,4851.4,Snow,normal
2025-01-06 05:00:00,20.3,120.0,45.0,57.6,-1.4,4851.4,Storm,normal
2025-01-06 06:00:00,16.1,0.8,45.0,46.3,0.8,4851.4,Cloudy,normal
2025-01-06 07:00:00,15.3,120.0,45.0,79.6,-5.2,4851.4,Cloudy,normal
2025-01-06 08:00:00,12.2,0.6,45.9,66.3,-4.1,4851.4,Snow,normal
2025-01-06 09:00:00,21.1,0.1,47.0,56.0,-4.6,4851.4,Cloudy,normal
2025-01-06 10:00:00,33.2,17.7,45.8,57.9,-3.3,4851.4,Clear,peak_solar
2025-01-06 11:00:00,18.8,120.0,47.2,91.6,-5.2,4851.4,Storm,normal
2025-01-06 12:00:00,28.1,105.5,45.0,95.0,-0.5,4851.4,Clear,peak_solar
2025-01-06 13:00:00,38.9,24.3,45.0,95.0,-2.0,4851.4,Clear,peak_solar
2025-01-06 14:00:00,27.2,16.9,46.6,94.0,-4.4,4851.4,Clear,normal
2025-01-06 15:00:00,15.3,5.4,45.0,84.3,-3.0,4851.4,Snow,normal
2025-01-06 16:00:00,27.8,120.0,45.0,95.0,0.3,4851.4,Clear,peak_solar
2025-01-06 17:00:00,10.8,44.6,45.0,95.0,1.8,4851.4,Snow,normal
2025-01-06 18:00:00,11.3,0.0,45.0,81.5,4.5,4851.4,Snow,normal
2025-01-06 19:00:00,9.4,0.0,45.0,67.3,6.7,4851.4,Snow,normal
2025-01-06 20:00:00,9.2,26.8,45.0,63.7,1.3,4851.4,Snow,normal
2025-01-06 21:00:00,6.3,0.0,45.0,48.2,-1.9,4851.4,Snow,normal
2025-01-06 22:00:00,4.1,6.5,45.3,34.3,-4.5,4851.4,Snow,normal
2025-01-06 23:00:00,3.2,55.1,45.0,39.2,0.5,4851.4,Cloudy,normal
2025-01-07 00:00:00,0.0,18.0,45.0,28.4,-2.2,4851.4,Snow,normal
2025-01-07 01:00:00,2.5,0.0,45.0,15.0,-1.6,4848.2,Cloudy,storm
2025-01-07 02:00:00,3.4,0.0,45.0,15.0,-2.5,4834.7,Snow,storm
2025-01-07 03:00:00,10.6,19.8,45.0,15.0,-1.8,4829.5,Clear,storm
2025-01-07 04:00:00,10.6,120.0,45.0,46.5,0.5,4829.5,Storm,normal
2025-01-07 05:00:00,13.7,2.8,45.0,35.1,-1.8,4829.5,Cloudy,normal
2025-01-07 06:00:00,18.6,60.0,45.0,47.5,-2.8,4829.5,Cloudy,normal
2025-01-07 07:00:00,17.0,18.6,45.0,43.7,-4.8,4829.5,Cloudy,normal
2025-01-07 08:00:00,20.0,0.1,45.0,33.8,-6.3,4829.5,Cloudy,normal
2025-01-07 09:00:00,32.5,61.7,45.0,51.8,-3.6,4829.5,Clear,peak_solar
2025-01-07 10:00:00,20.4,0.0,45.0,42.0,-2.5,4829.5,Cloudy,normal
2025-01-07 11:00:00,29.7,51.2,45.0,55.2,1.7,4829.5,Clear,peak_solar
2025-01-07 12:00:00,23.8,22.2,45.0,55.6,-1.6,4829.5,Cloudy,normal
2025-01-07 13:00:00,22.4,0.2,45.0,46.6,0.7,4829.5,Cloudy,normal
2025-01-07 14:00:00,19.9,0.0,45.0,36.6,-2.2,4829.5,Cloudy,normal
2025-01-07 15:00:00,28.1,0.4,45.0,30.0,-3.3,4829.5,Clear,normal
2025-01-07 16:00:00,24.9,0.0,47.9,20.8,-2.5,4829.5,Clear,normal
2025-01-07 17:00:00,13.0,1.3,45.0,15.0,-1.6,4823.7,Snow,storm
2025-01-07 18:00:00,18.7,0.7,47.1,15.0,4.9,4814.2,Cloudy,storm
2025-01-07 19:00:00,9.8,0.2,45.0,15.0,-1.5,4802.5,Snow,storm
2025-01-07 20:00:00,16.9,0.0,45.0,15.0,2.2,4792.9,Clear,storm
2025-01-07 21:00:00,10.6,0.0,45.0,15.0,-1.7,4781.5,Clear,storm
2025-01-07 22:00:00,10.2,90.0,45.0,35.3,2.2,4781.5,Clear,normal
2025-01-07 23:00:00,1.6,0.2,45.0,18.0,0.8,4781.5,Snow,normal
2025-01-08 00:00:00,0.0,1.4,45.0,15.0,-0.7,4769.5,Cloudy,storm
2025-01-08 01:00:00,1.7,0.5,46.3,15.0,-0.8,4755.4,Snow,storm
2025-01-08 02:00:00,5.2,120.0,45.0,44.5,-2.5,4755.4,Cloudy,normal
2025-01-08 03:00:00,13.2,0.0,45.0,31.8,-0.5,4755.4,Clear,normal
2025-01-08 04:00:00,6.8,0.0,45.0,16.5,-2.8,4755.4,Snow,normal
2025-01-08 05:00:00,22.3,23.5,45.0,16.8,-4.8,4755.4,Clear,normal
2025-01-08 06:00:00,12.5,8.4,45.0,15.0,-5.2,4748.5,Snow,storm
2025-01-08 07:00:00,17.4,25.4,45.0,15.0,-2.2,4747.7,Cloudy,storm
2025-01-08 08:00:00,21.0,21.2,45.0,15.0,0.9,4746.6,Cloudy,storm
2025-01-08 09:00:00,26.8,65.7,45.0,32.5,-2.2,4746.6,Clear,peak_solar
2025-01-08 10:00:00,13.6,0.0,45.0,19.9,-2.6,4746.6,Snow,normal
2025-01-08 11:00:00,14.8,17.7,45.0,15.0,-1.5,4746.5,Snow,storm
